graph_type,size,objective_value,time_ms,iterations,branch_and_bound_nodes
Path,100,67.0,74,0,0
Binomial Tree,16,12.0,5,0,0
Binomial Graph (30%),100,11.0,566764,0,0
Binomial Graph (50%),100,7.0,18995,0,0
Binomial Graph (80%),100,4.0,319,0,0
Complete,100,2.0,103,0,0
Star,100,2.0,12,0,0
Cycle,100,67.0,76,0,0
Path,100,67.0,72,0,0
Binomial Tree,16,12.0,5,0,0
Binomial Graph (30%),100,11.0,580719,0,0
Binomial Graph (50%),100,7.0,9212,0,0
Binomial Graph (80%),100,4.0,343,0,0
Complete,100,2.0,108,0,0
Star,100,2.0,13,0,0
Cycle,100,67.0,84,0,0
Path,100,67.0,70,0,0
Binomial Tree,16,12.0,5,0,0
Binomial Graph (30%),100,11.0,1974421,0,0
Binomial Graph (50%),100,8.0,58638,0,0
Binomial Graph (80%),100,4.0,295,0,0
Complete,100,2.0,104,0,0
Star,100,2.0,13,0,0
Cycle,100,67.0,78,0,0
Path,100,67.0,75,0,0
Binomial Tree,16,12.0,5,0,0
Binomial Graph (30%),100,11.0,3032043,0,0
Binomial Graph (50%),100,7.0,34247,0,0
Binomial Graph (80%),100,4.0,564,0,0
Complete,100,2.0,104,0,0
Star,100,2.0,13,0,0
Cycle,100,67.0,84,0,0
Path,100,67.0,91,0,0
Binomial Tree,16,12.0,5,0,0
Binomial Graph (30%),100,10.0,138151,0,0
Binomial Graph (50%),100,7.0,21171,0,0
Binomial Graph (80%),100,4.0,318,0,0
Complete,100,2.0,105,0,0
Star,100,2.0,13,0,0
Cycle,100,67.0,88,0,0
Path,100,67.0,76,0,0
Binomial Tree,16,12.0,5,0,0
Binomial Graph (30%),100,10.0,111021,0,0
Binomial Graph (50%),100,6.0,9009,0,0
Binomial Graph (80%),100,4.0,535,0,0
Complete,100,2.0,102,0,0
Star,100,2.0,13,0,0
Cycle,100,67.0,80,0,0
Path,100,67.0,76,0,0
Binomial Tree,16,12.0,5,0,0
Binomial Graph (30%),100,10.0,131916,0,0
Binomial Graph (50%),100,7.0,13942,0,0
Binomial Graph (80%),100,4.0,298,0,0
Complete,100,2.0,109,0,0
Star,100,2.0,13,0,0
Cycle,100,67.0,83,0,0
Path,100,67.0,86,0,0
Binomial Tree,16,12.0,8,0,0
Binomial Graph (30%),100,10.0,100378,0,0
Binomial Graph (50%),100,7.0,15278,0,0
Binomial Graph (80%),100,4.0,268,0,0
Complete,100,2.0,129,0,0
Star,100,2.0,14,0,0
Cycle,100,67.0,80,0,0
Path,100,67.0,75,0,0
Binomial Tree,16,12.0,5,0,0
Binomial Graph (30%),100,11.0,1455285,0,0
Binomial Graph (50%),100,7.0,19949,0,0
Binomial Graph (80%),100,4.0,349,0,0
Complete,100,2.0,118,0,0
Star,100,2.0,11,0,0
Cycle,100,67.0,77,0,0
Path,100,67.0,87,0,0
Binomial Tree,16,12.0,5,0,0
Binomial Graph (30%),100,10.0,87017,0,0
Binomial Graph (50%),100,7.0,13952,0,0
Binomial Graph (80%),100,4.0,307,0,0
Complete,100,2.0,102,0,0
Star,100,2.0,15,0,0
Cycle,100,67.0,80,0,0
Path,100,67.0,80,0,0
Binomial Tree,16,12.0,5,0,0
Binomial Graph (30%),100,10.0,161615,0,0
Binomial Graph (50%),100,8.0,54052,0,0
Binomial Graph (80%),100,4.0,297,0,0
Complete,100,2.0,113,0,0
Star,100,2.0,11,0,0
Cycle,100,67.0,89,0,0
Path,100,67.0,72,0,0
Binomial Tree,16,12.0,5,0,0
Binomial Graph (30%),100,10.0,96010,0,0
Binomial Graph (50%),100,6.0,15384,0,0
Binomial Graph (80%),100,4.0,384,0,0
Complete,100,2.0,110,0,0
Star,100,2.0,13,0,0
Cycle,100,67.0,81,0,0
Path,100,67.0,136,0,0
Binomial Tree,16,12.0,7,0,0
Binomial Graph (30%),100,11.0,582431,0,0
Binomial Graph (50%),100,7.0,21527,0,0
Binomial Graph (80%),100,4.0,348,0,0
Complete,100,2.0,106,0,0
Star,100,2.0,13,0,0
Cycle,100,67.0,77,0,0
Path,100,67.0,75,0,0
Binomial Tree,16,12.0,5,0,0
Binomial Graph (30%),100,11.0,1853934,0,0
Binomial Graph (50%),100,7.0,17943,0,0
Binomial Graph (80%),100,4.0,318,0,0
Complete,100,2.0,102,0,0
Star,100,2.0,12,0,0
Cycle,100,67.0,84,0,0
Path,100,67.0,76,0,0
Binomial Tree,16,12.0,5,0,0
Binomial Graph (30%),100,11.0,1473192,0,0
Binomial Graph (50%),100,7.0,22341,0,0
Binomial Graph (80%),100,4.0,240,0,0
Complete,100,2.0,102,0,0
Star,100,2.0,13,0,0
Cycle,100,67.0,80,0,0
Path,100,67.0,90,0,0
Binomial Tree,16,12.0,5,0,0
Binomial Graph (30%),100,10.0,79312,0,0
Binomial Graph (50%),100,7.0,19199,0,0
Binomial Graph (80%),100,4.0,306,0,0
Complete,100,2.0,102,0,0
Star,100,2.0,13,0,0
Cycle,100,67.0,80,0,0
Path,100,67.0,71,0,0
Binomial Tree,16,12.0,5,0,0
Binomial Graph (30%),100,10.0,152834,0,0
Binomial Graph (50%),100,7.0,10832,0,0
Binomial Graph (80%),100,4.0,310,0,0
Complete,100,2.0,105,0,0
Star,100,2.0,11,0,0
Cycle,100,67.0,85,0,0
Path,100,67.0,109,0,0
Binomial Tree,16,12.0,11,0,0
Binomial Graph (30%),100,10.0,183487,0,0
Binomial Graph (50%),100,7.0,18557,0,0
Binomial Graph (80%),100,4.0,309,0,0
Complete,100,2.0,105,0,0
Star,100,2.0,12,0,0
Cycle,100,67.0,80,0,0
Path,100,67.0,71,0,0
Binomial Tree,16,12.0,5,0,0
Binomial Graph (30%),100,10.0,106667,0,0
Binomial Graph (50%),100,7.0,17237,0,0
Binomial Graph (80%),100,4.0,310,0,0
Complete,100,2.0,104,0,0
Star,100,2.0,13,0,0
Cycle,100,67.0,80,0,0
Path,100,67.0,72,0,0
Binomial Tree,16,12.0,5,0,0
Binomial Graph (30%),100,10.0,83612,0,0
Binomial Graph (50%),100,6.0,9036,0,0
Binomial Graph (80%),100,4.0,329,0,0
Complete,100,2.0,102,0,0
Star,100,2.0,13,0,0
Cycle,100,67.0,77,0,0
Path,100,67.0,74,0,0
Binomial Tree,16,12.0,5,0,0
Binomial Graph (30%),100,10.0,81992,0,0
Binomial Graph (50%),100,6.0,18052,0,0
Binomial Graph (80%),100,4.0,288,0,0
Complete,100,2.0,109,0,0
Star,100,2.0,13,0,0
Cycle,100,67.0,84,0,0
Path,100,67.0,86,0,0
Binomial Tree,16,12.0,5,0,0
Binomial Graph (30%),100,11.0,1953650,0,0
Binomial Graph (50%),100,7.0,25376,0,0
Binomial Graph (80%),100,4.0,544,0,0
Complete,100,2.0,102,0,0
Star,100,2.0,13,0,0
Cycle,100,67.0,80,0,0
Path,100,67.0,74,0,0
Binomial Tree,16,12.0,5,0,0
Binomial Graph (30%),100,11.0,1701289,0,0
Binomial Graph (50%),100,6.0,7331,0,0
Binomial Graph (80%),100,4.0,297,0,0
Complete,100,2.0,104,0,0
Star,100,2.0,12,0,0
Cycle,100,67.0,107,0,0
Path,100,67.0,75,0,0
Binomial Tree,16,12.0,5,0,0
Binomial Graph (30%),100,10.0,177048,0,0
Binomial Graph (50%),100,6.0,3252,0,0
Binomial Graph (80%),100,4.0,347,0,0
Complete,100,2.0,107,0,0
Star,100,2.0,13,0,0
Cycle,100,67.0,81,0,0
Path,100,67.0,76,0,0
Binomial Tree,16,12.0,5,0,0
Binomial Graph (30%),100,10.0,93395,0,0
Binomial Graph (50%),100,7.0,18743,0,0
Binomial Graph (80%),100,4.0,304,0,0
Complete,100,2.0,105,0,0
Star,100,2.0,13,0,0
Cycle,100,67.0,80,0,0
Path,100,67.0,75,0,0
Binomial Tree,16,12.0,5,0,0
Binomial Graph (30%),100,10.0,173358,0,0
Binomial Graph (50%),100,7.0,23915,0,0
Binomial Graph (80%),100,4.0,369,0,0
Complete,100,2.0,107,0,0
Star,100,2.0,13,0,0
Cycle,100,67.0,80,0,0
Path,100,67.0,78,0,0
Binomial Tree,16,12.0,5,0,0
Binomial Graph (30%),100,10.0,128118,0,0
Binomial Graph (50%),100,6.0,1520,0,0
Binomial Graph (80%),100,4.0,297,0,0
Complete,100,2.0,103,0,0
Star,100,2.0,11,0,0
Cycle,100,67.0,80,0,0
Path,100,67.0,74,0,0
Binomial Tree,16,12.0,5,0,0
Binomial Graph (30%),100,10.0,169634,0,0
Binomial Graph (50%),100,7.0,18879,0,0
Binomial Graph (80%),100,4.0,295,0,0
Complete,100,2.0,100,0,0
Star,100,2.0,13,0,0
Cycle,100,67.0,80,0,0
Path,100,67.0,76,0,0
Binomial Tree,16,12.0,5,0,0
Binomial Graph (30%),100,10.0,89349,0,0
Binomial Graph (50%),100,7.0,22459,0,0
Binomial Graph (80%),100,4.0,337,0,0
Complete,100,2.0,201,0,0
Star,100,2.0,13,0,0
Cycle,100,67.0,83,0,0
Path,100,67.0,74,0,0
Binomial Tree,16,12.0,5,0,0
Binomial Graph (30%),100,10.0,78059,0,0
Binomial Graph (50%),100,6.0,11847,0,0
Binomial Graph (80%),100,4.0,320,0,0
Complete,100,2.0,105,0,0
Star,100,2.0,13,0,0
Cycle,100,67.0,81,0,0
Path,100,67.0,158,0,0
Binomial Tree,16,12.0,5,0,0
Binomial Graph (30%),100,10.0,111734,0,0
Binomial Graph (50%),100,7.0,20587,0,0
Binomial Graph (80%),100,4.0,263,0,0
Complete,100,2.0,102,0,0
Star,100,2.0,11,0,0
Cycle,100,67.0,81,0,0
Path,100,67.0,76,0,0
Binomial Tree,16,12.0,5,0,0
Binomial Graph (30%),100,10.0,145266,0,0
Binomial Graph (50%),100,7.0,16433,0,0
Binomial Graph (80%),100,4.0,303,0,0
Complete,100,2.0,109,0,0
Star,100,2.0,11,0,0
Cycle,100,67.0,80,0,0
Path,100,67.0,74,0,0
Binomial Tree,16,12.0,5,0,0
Binomial Graph (30%),100,11.0,3494059,0,0
Binomial Graph (50%),100,6.0,11903,0,0
Binomial Graph (80%),100,4.0,317,0,0
Complete,100,2.0,104,0,0
Star,100,2.0,12,0,0
Cycle,100,67.0,77,0,0
Path,100,67.0,75,0,0
Binomial Tree,16,12.0,5,0,0
Binomial Graph (30%),100,10.0,73144,0,0
Binomial Graph (50%),100,7.0,19446,0,0
Binomial Graph (80%),100,4.0,315,0,0
Complete,100,2.0,103,0,0
Star,100,2.0,13,0,0
Cycle,100,67.0,80,0,0
Path,100,67.0,79,0,0
Binomial Tree,16,12.0,5,0,0
Binomial Graph (30%),100,11.0,2064566,0,0
Binomial Graph (50%),100,7.0,13699,0,0
Binomial Graph (80%),100,4.0,315,0,0
Complete,100,2.0,109,0,0
Star,100,2.0,13,0,0
Cycle,100,67.0,87,0,0
Path,100,67.0,75,0,0
Binomial Tree,16,12.0,6,0,0
Binomial Graph (30%),100,10.0,174143,0,0
Binomial Graph (50%),100,6.0,13262,0,0
Binomial Graph (80%),100,4.0,285,0,0
Complete,100,2.0,109,0,0
Star,100,2.0,11,0,0
Cycle,100,67.0,82,0,0
Path,100,67.0,76,0,0
Binomial Tree,16,12.0,5,0,0
Binomial Graph (30%),100,10.0,60834,0,0
Binomial Graph (50%),100,7.0,15519,0,0
Binomial Graph (80%),100,4.0,301,0,0
Complete,100,2.0,103,0,0
Star,100,2.0,12,0,0
Cycle,100,67.0,80,0,0
Path,100,67.0,72,0,0
Binomial Tree,16,12.0,5,0,0
Binomial Graph (30%),100,10.0,217497,0,0
Binomial Graph (50%),100,6.0,14074,0,0
Binomial Graph (80%),100,4.0,287,0,0
Complete,100,2.0,107,0,0
Star,100,2.0,13,0,0
Cycle,100,67.0,76,0,0
Path,100,67.0,76,0,0
Binomial Tree,16,12.0,5,0,0
Binomial Graph (30%),100,11.0,1758375,0,0
Binomial Graph (50%),100,6.0,8560,0,0
Binomial Graph (80%),100,4.0,337,0,0
Complete,100,2.0,115,0,0
Star,100,2.0,12,0,0
Cycle,100,67.0,77,0,0
Path,100,67.0,75,0,0
Binomial Tree,16,12.0,5,0,0
Binomial Graph (30%),100,10.0,125873,0,0
Binomial Graph (50%),100,6.0,16819,0,0
Binomial Graph (80%),100,4.0,338,0,0
Complete,100,2.0,102,0,0
Star,100,2.0,13,0,0
Cycle,100,67.0,81,0,0
Path,100,67.0,75,0,0
Binomial Tree,16,12.0,5,0,0
Binomial Graph (30%),100,11.0,930839,0,0
Binomial Graph (50%),100,7.0,12678,0,0
Binomial Graph (80%),100,4.0,346,0,0
Complete,100,2.0,103,0,0
Star,100,2.0,12,0,0
Cycle,100,67.0,81,0,0
Path,100,67.0,81,0,0
Binomial Tree,16,12.0,5,0,0
Binomial Graph (30%),100,10.0,293178,0,0
Binomial Graph (50%),100,7.0,21325,0,0
Binomial Graph (80%),100,4.0,305,0,0
Complete,100,2.0,105,0,0
Star,100,2.0,11,0,0
Cycle,100,67.0,78,0,0
Path,100,67.0,76,0,0
Binomial Tree,16,12.0,5,0,0
Binomial Graph (30%),100,11.0,715469,0,0
Binomial Graph (50%),100,7.0,11271,0,0
Binomial Graph (80%),100,4.0,316,0,0
Complete,100,2.0,113,0,0
Star,100,2.0,13,0,0
Cycle,100,67.0,80,0,0
Path,100,67.0,74,0,0
Binomial Tree,16,12.0,5,0,0
Binomial Graph (30%),100,10.0,149661,0,0
Binomial Graph (50%),100,7.0,18695,0,0
Binomial Graph (80%),100,4.0,293,0,0
Complete,100,2.0,103,0,0
Star,100,2.0,13,0,0
Cycle,100,67.0,83,0,0
Path,100,67.0,75,0,0
Binomial Tree,16,12.0,5,0,0
Binomial Graph (30%),100,10.0,115682,0,0
Binomial Graph (50%),100,7.0,11845,0,0
Binomial Graph (80%),100,4.0,298,0,0
Complete,100,2.0,102,0,0
Star,100,2.0,13,0,0
Cycle,100,67.0,81,0,0
Path,100,67.0,74,0,0
Binomial Tree,16,12.0,5,0,0
Binomial Graph (30%),100,10.0,158513,0,0
Binomial Graph (50%),100,7.0,19786,0,0
Binomial Graph (80%),100,4.0,307,0,0
Complete,100,2.0,105,0,0
Star,100,2.0,12,0,0
Cycle,100,67.0,81,0,0
Path,100,67.0,74,0,0
Binomial Tree,16,12.0,5,0,0
Binomial Graph (30%),100,10.0,128125,0,0
Binomial Graph (50%),100,6.0,10016,0,0
Binomial Graph (80%),100,4.0,276,0,0
Complete,100,2.0,103,0,0
Star,100,2.0,14,0,0
Cycle,100,67.0,87,0,0
Path,100,67.0,79,0,0
Binomial Tree,16,12.0,5,0,0
Binomial Graph (30%),100,12.0,15280769,0,0
Binomial Graph (50%),100,6.0,5707,0,0
Binomial Graph (80%),100,4.0,316,0,0
Complete,100,2.0,105,0,0
Star,100,2.0,13,0,0
Cycle,100,67.0,80,0,0
Path,100,67.0,75,0,0
Binomial Tree,16,12.0,5,0,0
Binomial Graph (30%),100,11.0,1675878,0,0
Binomial Graph (50%),100,6.0,11889,0,0
Binomial Graph (80%),100,4.0,303,0,0
Complete,100,2.0,104,0,0
Star,100,2.0,11,0,0
Cycle,100,67.0,94,0,0
Path,100,67.0,76,0,0
Binomial Tree,16,12.0,5,0,0
Binomial Graph (30%),100,11.0,2677096,0,0
Binomial Graph (50%),100,7.0,24598,0,0
Binomial Graph (80%),100,4.0,321,0,0
Complete,100,2.0,103,0,0
Star,100,2.0,11,0,0
Cycle,100,67.0,86,0,0
Path,100,67.0,79,0,0
Binomial Tree,16,12.0,5,0,0
Binomial Graph (30%),100,10.0,152610,0,0
Binomial Graph (50%),100,7.0,24237,0,0
Binomial Graph (80%),100,4.0,312,0,0
Complete,100,2.0,104,0,0
Star,100,2.0,13,0,0
Cycle,100,67.0,77,0,0
Path,100,67.0,75,0,0
Binomial Tree,16,12.0,8,0,0
Binomial Graph (30%),100,10.0,101279,0,0
Binomial Graph (50%),100,6.0,3444,0,0
Binomial Graph (80%),100,4.0,304,0,0
Complete,100,2.0,103,0,0
Star,100,2.0,13,0,0
Cycle,100,67.0,80,0,0
Path,100,67.0,74,0,0
Binomial Tree,16,12.0,5,0,0
Binomial Graph (30%),100,10.0,152555,0,0
Binomial Graph (50%),100,6.0,18248,0,0
Binomial Graph (80%),100,4.0,279,0,0
Complete,100,2.0,102,0,0
Star,100,2.0,17,0,0
Cycle,100,67.0,84,0,0
Path,100,67.0,76,0,0
Binomial Tree,16,12.0,5,0,0
Binomial Graph (30%),100,11.0,1812270,0,0
Binomial Graph (50%),100,7.0,18958,0,0
Binomial Graph (80%),100,4.0,273,0,0
Complete,100,2.0,111,0,0
Star,100,2.0,16,0,0
Cycle,100,67.0,83,0,0
Path,100,67.0,75,0,0
Binomial Tree,16,12.0,6,0,0
Binomial Graph (30%),100,10.0,106628,0,0
Binomial Graph (50%),100,7.0,19151,0,0
Binomial Graph (80%),100,4.0,540,0,0
Complete,100,2.0,104,0,0
Star,100,2.0,13,0,0
Cycle,100,67.0,85,0,0
Path,100,67.0,71,0,0
Binomial Tree,16,12.0,5,0,0
Binomial Graph (30%),100,10.0,145150,0,0
Binomial Graph (50%),100,8.0,93251,0,0
Binomial Graph (80%),100,4.0,246,0,0
Complete,1000,2.0,8999,0,0
Star,1000,2.0,134,0,0
Cycle,1000,667.0,7614,0,0
Path,1000,667.0,8221,0,0
Binomial Tree,64,48.0,13,0,0
Complete,501,2.0,4078,0,0
Star,501,2.0,60,0,0
Cycle,501,334.0,2093,0,0
Path,501,334.0,1806,0,0
Binomial Tree,64,48.0,14,0,0
